name,classification,frequency_female,frequency_male,frequency_total,ratio,names
DERLANDO,M,0,70,70,1.0,|BERLANDO|DERLANDO|
DERLANE,F,940,61,1001,0.939060939060939,|BERLANE|DERILANE|DERLANE|
DERLANGE,F,231,25,256,0.90234375,|BERLANGE|DERLANGE|
DERLANIA,F,308,0,308,1.0,|BERLANIA|DERLANIA|
DERLANIO,M,0,138,138,1.0,|BERLANIO|DERLANIO|
DERLI,M,5029,8779,13808,0.6357908458864426,|BERLI|BERLY|DERLEI|DERLEY|DERLI|DERLIR|DERLY|
DERLIANE,F,747,0,747,1.0,|BERLIANE|DERLAINE|DERLIANE|
BERLIM,M,0,130,130,1.0,|BERLIM|BERLIN|DERLIM|DERLIN|
DERLINA,F,132,0,132,1.0,|BERLINA|DERLINA|DEROLINA|
DERLINDA,F,455,0,455,1.0,|BERLINDA|DERLINDA|
BERLINDO,M,0,234,234,1.0,|BERLINDO|DERLINDO|
DERLITA,F,141,0,141,1.0,|BERLITA|DERLITA|
DERLON,M,0,140,140,1.0,|BERLON|DERLON|
BERMIRIO,M,0,23,23,1.0,|BERMIRIO|
BERNAR,M,90,188,278,0.6762589928057554,|BERNA|BERNAR|DERNA|
BERNABE,M,48,371,419,0.8854415274463007,|BERNABE|BERNABER|BERNADE|
BERNADA,F,1060,0,1060,1.0,|BERNADA|
BERNADETH,F,700,0,700,1.0,|BERNADET|BERNADETH|
BERNADETA,F,38,0,38,1.0,|BERNADETA|
BERNADETE,F,36177,188,36365,0.99483019386773,|BERNABETE|BERNADETE|BERNADETHE|
BERNADETI,F,435,0,435,1.0,|BERNADETI|
BERNADETTE,F,212,0,212,1.0,|BERNADETTE|
BERNADINA,F,2737,0,2737,1.0,|BERNADINA|BERNADINHA|
BERNADINO,M,0,3528,3528,1.0,|BERNADINHO|BERNADINO|
BERNADO,M,66,8880,8946,0.9926224010731053,|BERNADO|BERNADOR|
BERNALDINA,F,343,0,343,1.0,|BERNALDINA|
BERNALDINO,M,0,486,486,1.0,|BERNALDINO|
BERNALDO,M,0,592,592,1.0,|BERNALDO|BERNILDO|
BERNAN,M,0,34,34,1.0,|BERNAN|
BERNANDETE,F,56,0,56,1.0,|BERNANDETE|
BERNARD,M,0,1051,1051,1.0,|BERNARD|BERNHARD|
BERNARDA,F,3583,26,3609,0.9927957883070102,|BERNARDA|
BERNARDES,M,0,109,109,1.0,|BERNARDES|
BERNARDETH,F,78,0,78,1.0,|BERNARDET|BERNARDETH|
BERNARDETE,F,5082,22,5104,0.9956896551724138,|BERNARDETE|
BERNARDETTE,F,32,0,32,1.0,|BERNARDETTE|
BERNARDINA,F,2973,0,2973,1.0,|BERNARDINA|
BERNARDINO,M,24,4690,4714,0.9949087823504454,|BERNARDINHO|BERNARDINO|
BERNARDO,M,348,56565,56913,0.9938854040377418,|BERNARDO|BERNNARDO|
BERND,M,0,84,84,1.0,|BERND|
DERNEVAL,M,0,1548,1548,1.0,|BERNEVAL|DERNEVAL|
DERNEVALDO,M,0,334,334,1.0,|BERNEVALDO|DERNEVALDO|
BERNICE,F,126,0,126,1.0,|BERNICE|DERNICE|
BERNALDA,F,110,0,110,1.0,|BERNALDA|BERNILDA|
BERNO,M,0,47,47,1.0,|BERNO|
DERONI,M,141,223,364,0.6126373626373627,|BERONI|DERONI|
BERONICE,F,461,0,461,1.0,|BERONICE|DERONICE|
BERONILDO,M,0,150,150,1.0,|BERONALDO|BERONILDO|DERONILDO|
BERONISA,F,46,0,46,1.0,|BERONISA|BERONIZA|
BERT,M,0,23,23,1.0,|BERT|
BERTA,F,2587,0,2587,1.0,|BERTA|BERTHA|
BERTANIA,F,54,0,54,1.0,|BERTANIA|
BERTHOLD,M,0,20,20,1.0,|BERTHOLD|
BERTOLDO,M,0,1150,1150,1.0,|BERTHOLDO|BERTOLDO|
BERTIL,M,0,24,24,1.0,|BERTIL|
BERTILA,F,270,0,270,1.0,|BERTILA|BERTILHA|
BERTILDE,F,62,0,62,1.0,|BERTILDE|
BERTILDES,F,20,0,20,1.0,|BERTILDES|
BERTILO,M,0,293,293,1.0,|BERTILHO|BERTILO|BERTOLO|
BERTILIA,F,95,0,95,1.0,|BERTILIA|
BERTILIO,M,0,56,56,1.0,|BERTILIO|
BERTIN,M,0,25,25,1.0,|BERTIN|
BERTINA,F,451,0,451,1.0,|BERTINA|
BERTINO,M,0,556,556,1.0,|BERTINHO|BERTINO|
BERTO,M,0,1387,1387,1.0,|BERTO|
BERTOLINA,F,2535,0,2535,1.0,|BERTOLINA|BERTULINA|
BERTOLINO,M,0,1729,1729,1.0,|BERTOLINO|BERTULINO|
BERTOLOMEU,M,0,65,65,1.0,|BERTOLOMEU|
BERTON,M,0,35,35,1.0,|BERTON|
BERTONE,M,0,96,96,1.0,|BERTONE|
BERTONI,M,0,108,108,1.0,|BERTONI|
BERTONIO,M,0,52,52,1.0,|BERTONIO|
BERTOUDO,M,0,118,118,1.0,|BERTOUDO|
BERTRAN,M,0,95,95,1.0,|BERTRAN|
BERTRAND,M,0,110,110,1.0,|BERTRAND|
BERVELI,F,43,0,43,1.0,|BERVELI|BERVELY|
BEZALIEL,M,0,254,254,1.0,|BESALIEL|BEZALEEL|BEZALIEL|
BESSIE,F,23,0,23,1.0,|BESSIE|
BETA,F,422,0,422,1.0,|BETA|BETHA|DETA|
BETANEA,F,223,0,223,1.0,|BETANEA|BETHANEA|
BETANHA,F,173,0,173,1.0,|BETANA|BETANHA|
BETANIA,F,21284,58,21342,0.9972823540436697,|BETANIA|BETHANIA|BHETANIA|DETANIA|
BETANIEL,M,0,20,20,1.0,|BETANIEL|
BETANIO,M,0,145,145,1.0,|BETANIO|
BETE,F,3285,85,3370,0.9747774480712166,|BETE|BETHE|DETE|
BETEJANE,F,30,0,30,1.0,|BETEJANE|
BETUEL,M,56,289,345,0.8376811594202899,|BETEL|BETOEL|BETUEL|
BETH,F,1291,0,1291,1.0,|BET|BETH|
BETI,F,1106,25,1131,0.97789566755084,|BETHI|BETHY|BETI|BETY|DETI|
BETINA,F,5851,0,5851,1.0,|BETHINA|BETINA|BETINHA|BETYNA|DETINA|DETINHA|
BETHOVEN,M,0,245,245,1.0,|BETHOVEN|BETOVEM|BETOVEN|
BETIANA,F,141,0,141,1.0,|BETIANA|
BETIANE,F,724,0,724,1.0,|BETIANE|DETIANE|
BETIELE,F,38,0,38,1.0,|BETIELE|
BETIELI,F,22,0,22,1.0,|BETIELI|
BETIENE,F,64,0,64,1.0,|BETIENE|
BETIJANE,F,51,0,51,1.0,|BETIJANE|
BETILDE,F,51,0,51,1.0,|BETILDE|
BETIM,M,0,53,53,1.0,|BETIM|BETIN|
BETINE,F,44,0,44,1.0,|BETINE|
BETINHO,M,0,443,443,1.0,|BETINHO|BETINO|DETINHO|DETINO|
BETIZA,F,288,0,288,1.0,|BETISA|BETIZA|
BETO,M,21,3778,3799,0.9944722295340879,|BETO|DETO|
BETONIO,M,0,35,35,1.0,|BETONIO|
BETRIZ,F,1930,0,1930,1.0,|BAETRIZ|BETRIS|BETRIZ|
BETSAIDA,F,45,0,45,1.0,|BETSAIDA|
BETSON,M,0,25,25,1.0,|BETSON|
BETSY,F,53,0,53,1.0,|BETSY|
BETTY,F,531,0,531,1.0,|BETTI|BETTY|
BETTINA,F,392,0,392,1.0,|BETTINA|
BETULIA,F,36,0,36,1.0,|BETULIA|
DEVANIA,F,466,0,466,1.0,|BEVANIA|DEVANIA|
BEVENUTA,F,70,0,70,1.0,|BEVENUTA|
BEVENUTO,M,0,153,153,1.0,|BEVENUTO|
BEVERLY,F,223,46,269,0.828996282527881,|BEVERLI|BEVERLY|DEVERLEI|DEVERLI|DEVERLY|
DEVINA,F,160,0,160,1.0,|BEVINA|DEVINA|
BIANCA,F,235533,860,236393,0.9963619904142678,|BHIANCA|BIANCA|BIANKA|BIANNCA|BYANCA|BYANKA|DIANCA|
BRAIAN,M,187,19441,19628,0.9904727939678011,|BHRAYAN|BRAHIAN|BRAHYAN|BRAIAM|BRAIAN|BRAYAM|BRAYAN|BRAYANN|BRAYHAN|
BRENDA,F,122118,627,122745,0.9948918489551509,|BHRENDA|BRENDA|BRENDAH|BRENDHA|BRENNDA|BRHENDA|DRENDA|
BRENO,M,974,114972,115946,0.9915995377158332,|BHRENO|BRENNO|BRENO|DRENO|
DAIR,F,3291,2241,5532,0.5949023861171366,|BIA|DAHIR|DAI|DAIR|DAY|DAYR|DIA|
BIACA,F,893,0,893,1.0,|BIACA|BIAKA|
BIAFRA,M,0,71,71,1.0,|BIAFRA|
BIAGIO,M,0,164,164,1.0,|BIAGIO|
DIAN,M,117,1107,1224,0.9044117647058824,|BIAN|BYAN|DAIN|DHIAN|DHYAN|DIAM|DIAN|DYAN|
DIANA,F,81007,284,81291,0.9965063783198632,|BIANA|DAINA|DAYNA|DAYNNA|DHIANA|DHYANA|DIANA|DIANNA|DYANA|DYANNA|
BIANCCA,F,35,0,35,1.0,|BIANCCA|
BIANCHA,F,30,0,30,1.0,|BIANCHA|
BIANCO,M,38,247,285,0.8666666666666667,|BIANCO|
DIANE,F,26049,245,26294,0.9906822849319237,|BIANE|DAINE|DAINER|DAINNE|DAYNE|DAYNER|DAYNNE|DHIANE|DIANE|DIANER|DIANNE|DYANE|DYANNE|
DIANI,F,1449,36,1485,0.9757575757575757,|BIANI|DAINI|DAINNY|DAINY|DAYNI|DAYNY|DIANEI|DIANI|DIANIR|DIANNY|DIANY|
BIANC,F,104,0,104,1.0,|BIANC|BIANK|
BIANOR,M,0,1810,1810,1.0,|BIANO|BIANOR|DAINO|DIANO|DIANOR|
DAIRA,F,1452,0,1452,1.0,|BIARA|DAIRA|DAYRA|DIARA|
DAIS,F,651,273,924,0.7045454545454546,|BIAS|DAIS|DAIZ|DAYS|DIAS|
BIATA,F,44,0,44,1.0,|BIATA|
DAITO,M,0,66,66,1.0,|BIATO|DAITO|
BIATRIZ,F,3578,0,3578,1.0,|BIATRIS|BIATRIZ|BYATRIZ|
DIDI,M,332,470,802,0.5860349127182045,|BIBI|DEIBI|DEIBY|DEIDI|DEIDY|DIDI|
BIBIAN,F,23,0,23,1.0,|BIBIAN|
BIBIANA,F,3694,0,3694,1.0,|BIBIANA|DEIDIANA|DIDIANA|
BIBIANI,F,32,0,32,1.0,|BIBIANI|
BIBIANO,M,0,999,999,1.0,|BIBIANO|
BIBLIANA,F,21,0,21,1.0,|BIBLIANA|
BIBLIANE,F,21,0,21,1.0,|BIBLIANE|
DIDA,F,144,127,271,0.5313653136531366,|BIDA|DEIDA|DIBA|DIDA|
BIENVENIDO,M,0,20,20,1.0,|BIENVENIDO|
DIER,M,0,82,82,1.0,|BIER|DIE|DIER|
BIGAIL,F,153,55,208,0.7355769230769231,|BIGAIL|DIJAEL|
DIJAIR,M,89,626,715,0.8755244755244755,|BIGAIR|DEIJAIR|DIJAIR|
BILAC,M,0,20,20,1.0,|BILAC|
DILENE,F,5440,321,5761,0.9442805068564485,|BILENE|BLENE|BLENER|BLENNER|DAILENE|DALENE|DAYLENE|DELENE|DEOLENE|DEULENE|DIELENE|DILAENE|DILENE|DIOLENE|DIULENE|
BILIGRAN,M,0,58,58,1.0,|BILIGRAN|
DIMAEL,M,0,426,426,1.0,|BIMAEL|DIMAEL|
DIM,M,0,77,77,1.0,|BIN|DIM|DIN|
DINA,F,21528,261,21789,0.9880214787277984,|BINA|BINHA|DEINA|DEINHA|DEYNA|DHEINA|DHEYNA|DIEINA|DIINA|DINA|DINAH|DINAR|DINHA|DYNA|
DINAEL,M,121,1808,1929,0.9372731985484707,|BINAEL|DINAEL|DINAIL|DINAL|DINEL|DINIEL|DINOEL|
DINEI,M,949,2588,3537,0.7316935255866553,|BINI|DEINI|DEINY|DHEINI|DHEINY|DIEINI|DIEINY|DINEI|DINEIR|DINEY|DINI|DINIR|DINNY|DINY|
DELANGE,F,108,0,108,1.0,|BIOLANGE|DELANGE|DIOLANGE|
DIOMAR,M,4989,5811,10800,0.5380555555555555,|BIOMAR|DIOMA|DIOMAR|
BIONDA,F,179,0,179,1.0,|BIONDA|
DIONE,M,11840,19360,31200,0.6205128205128205,|BIONE|DHIONE|DIHONE|DIONE|DIONER|DIONNE|
BIONOR,M,24,363,387,0.937984496124031,|BIONO|BIONOR|DIONO|DIONOR|
BIRA,M,196,314,510,0.615686274509804,|BIRA|DEIRA|DIRA|
DIRACI,F,443,321,764,0.5798429319371727,|BIRACI|BIRACIR|BIRACY|DIRACI|DIRACIR|DIRACY|
BIRAELSON,M,0,26,26,1.0,|BIRAELSON|
BIRAJA,M,0,66,66,1.0,|BIRAJA|BIRAJAR|
BIRAJARA,M,0,372,372,1.0,|BIRAJARA|
BIRAMAR,M,27,54,81,0.6666666666666666,|BIRAMAR|DIRAMAR|
DIRANI,F,228,22,250,0.912,|BIRANI|DIRANI|DIRANIR|DIRANY|
BIRATAN,M,0,310,310,1.0,|BIRATAM|BIRATAN|
BIRGIT,F,34,0,34,1.0,|BIRGIT|
DIRLENE,F,6842,29,6871,0.9957793625382041,|BIRLENE|DEIRILENE|DIRLENE|
BISMACK,M,0,39,39,1.0,|BISMACK|
BISMAEL,M,0,103,103,1.0,|BISMAEL|DISMAEL|
BISMAK,M,0,84,84,1.0,|BISMAK|
BISMAR,M,22,202,224,0.9017857142857143,|BISMAR|DISMA|DISMAR|
BISMARK,M,0,1175,1175,1.0,|BISMARC|BISMARK|
BISMARCK,M,0,700,700,1.0,|BISMARCK|
BISMARQUE,M,0,1692,1692,1.0,|BISMARQUE|
BISMARQUES,M,0,186,186,1.0,|BISMARQUES|
BISMARQUI,M,0,54,54,1.0,|BISMARQUI|
BISPO,M,0,343,343,1.0,|BISPO|
BITENCOURT,M,0,31,31,1.0,|BITENCOURT|
BITENIL,M,0,49,49,1.0,|BITENIL|
DIVAL,M,0,708,708,1.0,|BIVAL|DIVAEL|DIVAIL|DIVAL|
DIVALDO,M,0,5414,5414,1.0,|BIVALDO|DEIVALDO|DIVAILDO|DIVALDO|
DIVA,F,39772,360,40132,0.9910296023123691,|BIVAR|DEIVA|DIVA|DIVAR|
BJORN,M,0,21,21,1.0,|BJORN|
BLADEMIR,M,0,66,66,1.0,|BLADEMIR|
BLADIMIR,M,0,84,84,1.0,|BLADIMIR|
BLAIAN,M,0,72,72,1.0,|BLAIAN|BLAYAN|
BLAION,M,0,37,37,1.0,|BLAION|
BLANCA,F,699,0,699,1.0,|BLANCA|
BLANCHE,F,117,0,117,1.0,|BLANCHE|
DIOLANDA,F,613,0,613,1.0,|BLANDA|DEOLANDA|DIOLANDA|
BLANDINA,F,932,0,932,1.0,|BLANDINA|
BLANDINE,F,21,0,21,1.0,|BLANDINE|
BLANDINO,M,0,56,56,1.0,|BLANDINO|
DIOLANDO,M,0,168,168,1.0,|BLANDO|DELANDO|DEOLANDO|DIOLANDO|
DOULAS,M,20,1927,1947,0.9897277863379559,|BLAS|DALAS|DIAULAS|DILAS|DOLAS|DOUHLAS|DOULAS|
BLASIO,M,0,178,178,1.0,|BLASIO|BLAZIO|
BLAULIO,M,0,42,42,1.0,|BLAULIO|
DILEIDE,F,497,0,497,1.0,|BLEIDE|DELEIDE|DELIDE|DEOLIDE|DILEIDE|DIOLEIDE|
BLEMER,M,0,21,21,1.0,|BLEMER|
DILENA,F,752,0,752,1.0,|BLENA|DALENA|DELENA|DILENA|DIOLENA|
BLENDA,F,2733,0,2733,1.0,|BLENDA|BLENDHA|
BLENDER,M,0,23,23,1.0,|BLENDER|
BLENDO,M,0,294,294,1.0,|BLENDO|
BLENDON,M,0,142,142,1.0,|BLENDON|
DILENIA,F,72,0,72,1.0,|BLENIA|DILENIA|
BLENIO,M,0,148,148,1.0,|BLENIO|DILENIO|
DIOLENO,M,0,1485,1485,1.0,|BLENO|DHOLENO|DILENO|DIOLENO|
BLEVIO,M,0,20,20,1.0,|BLEVIO|
BLONDINA,F,207,0,207,1.0,|BLONDINA|
BLUMA,F,37,0,37,1.0,|BLUMA|
BLUNA,F,151,0,151,1.0,|BLUNA|
BLUNO,M,0,145,145,1.0,|BLUNO|
BOANEGES,M,0,51,51,1.0,|BOANEGES|
BOANERGE,M,0,37,37,1.0,|BOANERGE|
BOANERGES,M,0,630,630,1.0,|BOANERGES|
BOANERGIS,M,0,40,40,1.0,|BOANERGIS|
BOAZ,M,0,476,476,1.0,|BOAS|BOAZ|
BOAVENTURA,M,167,2097,2264,0.9262367491166078,|BOAVENTURA|
BOB,M,0,220,220,1.0,|BOB|
BOBY,M,0,69,69,1.0,|BOBI|BOBY|DODI|
BOBSON,M,0,123,123,1.0,|BOBSON|DOBSON|
DODO,M,0,102,102,1.0,|BODO|DODO|
BOGDAN,M,0,64,64,1.0,|BOGDAN|
BOHDAN,M,0,34,34,1.0,|BOHDAN|
BOLESLAU,M,0,152,152,1.0,|BOLESLAU|
BOLIVAR,M,0,2163,2163,1.0,|BOLIVA|BOLIVAR|DELIVAR|DOLIVAR|
DELIVAL,M,0,232,232,1.0,|BOLIVAL|DELIVAL|DOLIVAL|
DALIVIA,F,50,0,50,1.0,|BOLIVIA|DALIVIA|
DHON,M,21,1171,1192,0.9823825503355704,|BOM|DHOM|DHON|DOM|DON|DYON|
BOMFILHO,M,0,29,29,1.0,|BOMFILHO|
BOMFIM,M,20,583,603,0.966832504145937,|BOMFIM|BOMFIN|
DONALDO,M,0,1260,1260,1.0,|BONALDO|DONALDO|DONILDO|
DHONES,M,0,732,732,1.0,|BONES|DHONES|DONES|DYONES|
BONEVAL,M,0,51,51,1.0,|BONEVAL|DONEVAL|
BONFILHO,M,0,82,82,1.0,|BONFILHO|
BONFIM,M,62,1857,1919,0.9676915059927045,|BONFIM|BONFIN|
DONI,M,119,1302,1421,0.916256157635468,|BONI|BONNY|BONY|DHONI|DHONNY|DHONY|DONEI|DONI|DONIR|DONNY|DONY|DYONI|DYONY|
BONIECK,M,0,28,28,1.0,|BONIECK|
BONIEK,M,0,116,116,1.0,|BONIEK|
BONIFACIA,F,448,0,448,1.0,|BONIFACIA|
BONIFACIO,M,0,3266,3266,1.0,|BONIFACIO|
DONIVALDO,M,0,292,292,1.0,|BONIVALDO|DONIVALDO|
BONNIE,F,53,0,53,1.0,|BONIE|BONNIE|DONIE|
DORES,F,1009,202,1211,0.833195706028076,|BORES|DORES|
BORGES,M,43,349,392,0.8903061224489796,|BORGES|
DORIS,F,5219,882,6101,0.8554335354859859,|BORIS|BORYS|DORIS|DORYS|
BORTOLO,M,0,162,162,1.0,|BORTOLO|
BOSCO,M,0,687,687,1.0,|BOSCO|
BOUTROS,M,0,22,22,1.0,|BOUTROS|
BRAD,M,0,97,97,1.0,|BRAD|
BRADLEY,M,0,87,87,1.0,|BRADLEY|
BRAES,M,0,26,26,1.0,|BRAES|
BRAGA,M,23,186,209,0.8899521531100478,|BRAGA|
BRYAN,M,283,27483,27766,0.9898076784556652,|BRAHIM|BRAIM|BRAIN|BRAYM|BRAYN|BRIAM|BRIAN|BRIYAN|BRYAM|BRYAN|BRYANN|DRIAN|DRYAN|
BRAIANE,F,100,0,100,1.0,|BRAIANE|BRAYANE|
BRAIER,M,0,78,78,1.0,|BRAIER|BRAYER|
BRIANA,F,764,0,764,1.0,|BRAINA|BRIANA|BRIANNA|DRIANA|
BRIANE,F,670,503,1173,0.5711849957374254,|BRAINE|BRAINER|BRAYNE|BRAYNER|BRAYNNER|BRIANE|BRIANNE|BRYANE|BRYANNE|DRIANE|
BRAION,M,0,575,575,1.0,|BRAIOM|BRAION|
BRAIS,M,0,448,448,1.0,|BRAIS|BRAIZ|
BRAITNER,M,0,79,79,1.0,|BRAITNER|BRAYTNER|
BRAULIO,M,21,7903,7924,0.9973498233215548,|BRALIO|BRAULIO|BRULIO|DRAULIO|
BRANA,F,166,0,166,1.0,|BRANA|
BRANCA,F,2549,0,2549,1.0,|BRANCA|
BRANCO,M,0,331,331,1.0,|BRANCO|
BRANDA,F,219,0,219,1.0,|BRANDA|
BRANDALI,F,69,0,69,1.0,|BRANDALI|
BRANDAO,M,0,147,147,1.0,|BRANDAO|
BRANDINA,F,1854,0,1854,1.0,|BRANDINA|
BRANDINO,M,0,138,138,1.0,|BRANDINO|
BRANDO,M,0,491,491,1.0,|BRANDO|
BRANDON,M,0,937,937,1.0,|BRANDOM|BRANDON|
BRANDOW,M,0,54,54,1.0,|BRANDOW|
BRANDY,F,23,0,23,1.0,|BRANDI|BRANDY|
BRAZ,M,63,21516,21579,0.9970804949256221,|BRAS|BRAZ|
BRASILINA,F,6012,25,6037,0.9958588702998178,|BRASELINA|BRASILINA|BRASLINA|BRAZELINA|BRAZILINA|
BRASILINO,M,0,2353,2353,1.0,|BRASELINO|BRASILINO|BRAZILINO|
BRASIL,M,0,1155,1155,1.0,|BRASIL|BRAZIL|
BRASILA,F,35,0,35,1.0,|BRASILA|
BRASILEIA,F,30,0,30,1.0,|BRASILEIA|
BRASILEIRO,M,0,40,40,1.0,|BRASILEIRO|
BRASILENE,F,69,0,69,1.0,|BRASILENE|
BRASILIA,F,1443,0,1443,1.0,|BRASILIA|BRAZILIA|
BRASILIANA,F,248,0,248,1.0,|BRASILIANA|
BRASILIANO,M,0,635,635,1.0,|BRASILIANO|BRAZILIANO|
BRASILICE,F,59,0,59,1.0,|BRASILICE|
BRASILIO,M,0,805,805,1.0,|BRASILIO|BRAZILIO|
BRASILISIA,F,44,0,44,1.0,|BRASILISIA|
BRASILMAR,M,0,25,25,1.0,|BRASILMAR|
BRASINA,F,39,0,39,1.0,|BRASINA|
BREILA,F,226,0,226,1.0,|BRAULA|BREILA|BRIELA|DRIELA|
DRIELE,F,6646,223,6869,0.9675353035376328,|BRAILE|BRAULE|BRAULER|BRIELE|DRIELE|DRILE|DRYELE|
DRIELI,F,4082,108,4190,0.9742243436754177,|BRAULI|BRIELI|DRIELI|DRIELY|DRYELI|
BRAULIA,F,441,0,441,1.0,|BRAULIA|
BRAULINA,F,1309,0,1309,1.0,|BRAULINA|BROLINA|
BRAULINO,M,0,2920,2920,1.0,|BRALINO|BRAULINO|BROLINO|BRULINO|
BRAULO,M,0,210,210,1.0,|BRAULHO|BRAULO|
BRAUNER,M,0,94,94,1.0,|BRAUNER|
BRAYON,M,0,332,332,1.0,|BRAYON|
BRBARA,F,76,0,76,1.0,|BRBARA|
BRED,M,0,100,100,1.0,|BRED|
BREDA,F,824,0,824,1.0,|BREDA|BREDHA|
BREDY,M,0,64,64,1.0,|BREDI|BREDY|
BREENDA,F,70,0,70,1.0,|BREENDA|
BREINER,M,21,148,169,0.8757396449704142,|BREINER|BREYNER|BRINE|BRINER|BRYNNER|
BREITNER,M,0,37,37,1.0,|BREITNER|
BREMER,M,0,103,103,1.0,|BREMER|BREMMER|
BRENA,F,17153,146,17299,0.9915602057922424,|BRENA|BRENNA|DRENA|
BRENAN,M,0,48,48,1.0,|BRENAN|
BREND,F,52,20,72,0.7222222222222222,|BREND|
BRENDALI,F,171,0,171,1.0,|BRENDALI|BRENDALY|BRENDOLI|
BRENDDA,F,63,0,63,1.0,|BRENDDA|
BRENDEL,M,0,179,179,1.0,|BRENDAL|BRENDEL|BRENDOL|
BRENDEO,M,0,21,21,1.0,|BRENDEO|
BRENDER,M,22,126,148,0.8513513513513513,|BRENDE|BRENDER|
BRENDERSON,M,0,81,81,1.0,|BRENDERSON|
BRENDON,M,34,4063,4097,0.991701244813278,|BRENDHON|BRENDOM|BRENDON|
BRENDO,M,139,13428,13567,0.9897545514852215,|BRENDO|BRENNDO|
BRENDOW,M,0,376,376,1.0,|BRENDOW|
BRENDSON,M,0,67,67,1.0,|BRENDSON|
BRENER,M,51,3576,3627,0.9859387923904053,|BRENE|BRENER|BRENNE|BRENNER|
BRENI,M,0,87,87,1.0,|BRENI|
BRENIA,F,57,0,57,1.0,|BRENIA|
BRENILSON,M,0,36,36,1.0,|BRENILSON|
BRENIO,M,0,176,176,1.0,|BRENIO|
BRENON,M,0,269,269,1.0,|BRENNON|BRENON|
BRIANDA,F,72,0,72,1.0,|BRIANDA|
BRIANI,F,82,0,82,1.0,|BRIANI|BRIANY|
DREICE,F,171,0,171,1.0,|BRICE|DREICE|DREYCE|
BRICIA,F,171,0,171,1.0,|BRICIA|DRICIA|
BRICIO,M,0,271,271,1.0,|BRICIO|
BRIDA,F,340,0,340,1.0,|BRIDA|
DRIELLE,F,1514,0,1514,1.0,|BRIELLE|DRIELLE|DRILLE|DRYELLE|
DRIELLY,F,2209,0,2209,1.0,|BRIELLY|DRIELLI|DRIELLY|DRILLY|DRYELLI|DRYELLY|
BRIENA,F,65,0,65,1.0,|BRIENA|
DRIENE,F,256,0,256,1.0,|BRIENE|DRIENE|
BRIGIDA,F,6697,23,6720,0.9965773809523809,|BRIGIDA|BRIJIDA|
BRIGIDO,M,0,575,575,1.0,|BRIGIDO|
BRIGITE,F,414,0,414,1.0,|BRIGITE|
BRIGITI,F,26,0,26,1.0,|BRIGITI|
BRIGITTA,F,24,0,24,1.0,|BRIGITTA|
BRIGITTE,F,203,0,203,1.0,|BRIGITTE|
BRINA,F,258,0,258,1.0,|BRINA|DRINA|
BRINALDO,M,0,31,31,1.0,|BRINALDO|
BRIOLANGE,F,30,0,30,1.0,|BRIOLANGE|
BRISA,F,2234,0,2234,1.0,|BRISA|BRIZA|BRYSA|
BRISAMAR,M,0,67,67,1.0,|BRISAMAR|BRIZAMAR|
BRISDA,F,81,0,81,1.0,|BRISDA|
BRISIA,F,59,0,59,1.0,|BRISIA|BRIZIA|
BRIZIDA,F,102,0,102,1.0,|BRISIDA|BRIZIDA|
BRIZOLA,M,0,75,75,1.0,|BRISOLA|BRIZOLA|
BRISSA,F,30,0,30,1.0,|BRISSA|
BRITES,F,40,0,40,1.0,|BRITES|
BRITIVALDO,M,0,21,21,1.0,|BRITIVALDO|
BRITO,M,47,475,522,0.9099616858237548,|BRITO|
BRIVALDO,M,0,587,587,1.0,|BRIVALDO|
BRIZZA,F,54,0,54,1.0,|BRIZZA|
BROMILDA,F,64,0,64,1.0,|BROMILDA|
BRONDINA,F,26,0,26,1.0,|BRONDINA|
BRONILDA,F,171,0,171,1.0,|BRONILDA|
BRONILDE,F,28,0,28,1.0,|BRONILDE|
BRONISLAU,M,0,75,75,1.0,|BRONISLAU|
BRONSON,M,0,31,31,1.0,|BRONSON|
BRUCCE,M,0,26,26,1.0,|BRUCCE|
BRUCE,M,0,2116,2116,1.0,|BRUCE|
BRUCI,M,0,250,250,1.0,|BRUCI|BRUCY|
BRUN,M,105,267,372,0.717741935483871,|BRUM|BRUN|
BRUMA,F,190,0,190,1.0,|BRUMA|
BRUNA,F,463843,2778,466621,0.9940465602705407,|BRUNA|BRUNAH|BRUNNA|DRUNA|
BRUNARA,F,41,0,41,1.0,|BRUNARA|
BRUNER,M,48,152,200,0.76,|BRUNE|BRUNER|BRUNNER|
BRUNI,M,69,243,312,0.7788461538461539,|BRUNEI|BRUNEY|BRUNI|BRUNY|
BRUNIEL,M,0,115,115,1.0,|BRUNEL|BRUNIEL|
BRUNELA,F,639,0,639,1.0,|BRUNELA|BRUNIELA|
BRUNIELE,F,1053,0,1053,1.0,|BRUNELE|BRUNIELE|
BRUNIELI,F,748,0,748,1.0,|BRUNELI|BRUNELY|BRUNIELI|BRUNIELY|
BRUNELIA,F,24,0,24,1.0,|BRUNELIA|
BRUNELLA,F,276,0,276,1.0,|BRUNELLA|
BRUNIELLE,F,172,0,172,1.0,|BRUNELLE|BRUNIELLE|
BRUNELLY,F,301,0,301,1.0,|BRUNELLI|BRUNELLY|BRUNIELLI|BRUNIELLY|
BRUNESSA,F,46,0,46,1.0,|BRUNESSA|
BRUNILDE,F,219,0,219,1.0,|BRUNHILDE|BRUNILDE|
